"name" "continent"	"date"	"isUpdated"	"confirmAdd"	"confirmAddCut"	"confirm"	"suspect"	"dead"	"heal"	"nowConfirm"	"confirmCompare"	"nowConfirmCompare"	"healCompare"	"deadCompare"
"厄瓜多尔"	"南美洲"	"12.14"	"False"	"586"	"0"	"202110"	"0"	"13875"	"177951"	"10284"	"586"	"-3178"	"3763"	"1"
"巴拿马"	"北美洲"	"12.14"	"False"	"2422"	"0"	"193007"	"0"	"3356"	"162105"	"27546"	"2422"	"933"	"1464"	"25"
"格鲁吉亚"	"亚洲"	"12.14"	"False"	"1337"	"0"	"191063"	"0"	"1839"	"161681"	"27543"	"1337"	"-2210"	"3498"	"49"
"哈萨克斯坦"	"亚洲"	"12.14"	"False"	"764"	"0"	"186277"	"0"	"2552"	"157701"	"26024"	"764"	"-89"	"853"	"0"
"阿联酋"	"亚洲"	"12.14"	"False"	"2286"	"0"	"186041"	"0"	"618"	"164349"	"21074"	"2286"	"976"	"1301"	"9"
"日本本土"	"亚洲"	"12.14"	"False"	"1679"	"0"	"182278"	"0"	"2528"	"150791"	"28959"	"1679"	"-30"	"1661"	"48"
"保加利亚"	"欧洲"	"12.14"	"False"	"497"	"0"	"179449"	"0"	"5688"	"83720"	"90041"	"497"	"-1528"	"1963"	"62"
"克罗地亚"	"欧洲"	"12.14"	"False"	"1472"	"0"	"177358"	"0"	"2705"	"151884"	"22769"	"1472"	"-2266"	"3673"	"65"
"阿塞拜疆"	"亚洲"	"12.14"	"False"	"0"	"0"	"175874"	"0"	"1966"	"114841"	"59067"	"0"	"-2967"	"2923"	"44"
"白俄罗斯"	"欧洲"	"12.14"	"False"	"1853"	"0"	"162148"	"0"	"1273"	"139785"	"21090"	"1853"	"522"	"1321"	"10"
"多米尼加"	"北美洲"	"12.14"	"False"	"1107"	"0"	"154692"	"0"	"2361"	"120481"	"31850"	"1107"	"241"	"865"	"1"
"哥斯达黎加"	"北美洲"	"12.14"	"False"	"0"	"0"	"150947"	"0"	"1895"	"112622"	"36430"	"0"	"0"	"0"	"0"
"亚美尼亚"	"亚洲"	"12.14"	"False"	"357"	"0"	"148682"	"0"	"2503"	"125966"	"20213"	"357"	"-457"	"797"	"17"
"玻利维亚"	"南美洲"	"12.14"	"False"	"120"	"0"	"147150"	"0"	"9018"	"126221"	"11911"	"120"	"-13"	"129"	"4"
"黎巴嫩"	"亚洲"	"12.14"	"False"	"1275"	"0"	"146520"	"0"	"1200"	"101334"	"43986"	"1275"	"-1485"	"2750"	"10"
"科威特"	"亚洲"	"12.14"	"False"	"231"	"0"	"146449"	"0"	"912"	"142357"	"3180"	"231"	"-33"	"263"	"1"
"卡塔尔"	"亚洲"	"12.14"	"False"	"0"	"0"	"140961"	"0"	"240"	"138490"	"2231"	"0"	"0"	"0"	"0"
"斯洛伐克"	"欧洲"	"12.14"	"False"	"505"	"0"	"133489"	"0"	"1205"	"98585"	"33699"	"505"	"-1042"	"1517"	"30"
"危地马拉"	"北美洲"	"12.14"	"False"	"0"	"0"	"129282"	"0"	"4423"	"117923"	"6936"	"0"	"0"	"0"	"0"
"摩尔多瓦"	"欧洲"	"12.14"	"False"	"0"	"0"	"126518"	"0"	"2572"	"108901"	"15045"	"0"	"0"	"0"	"0"
"阿曼"	"亚洲"	"12.14"	"False"	"264"	"0"	"126504"	"0"	"1472"	"118287"	"6745"	"264"	"24"	"239"	"1"
"希腊"	"欧洲"	"12.14"	"False"	"692"	"0"	"124534"	"0"	"3625"	"23074"	"97835"	"692"	"607"	"0"	"85"
"埃及"	"非洲"	"12.14"	"False"	"486"	"0"	"121575"	"0"	"6920"	"104875"	"9780"	"486"	"299"	"165"	"22"
"埃塞俄比亚"	"非洲"	"12.14"	"False"	"472"	"0"	"116769"	"0"	"1806"	"93890"	"21073"	"472"	"-972"	"1441"	"3"
"洪都拉斯"	"北美洲"	"12.14"	"False"	"316"	"0"	"114359"	"0"	"2975"	"51478"	"59906"	"316"	"247"	"68"	"1"
"丹麦"	"欧洲"	"12.14"	"False"	"3337"	"0"	"113642"	"0"	"950"	"81088"	"31604"	"3337"	"2158"	"1170"	"9"
"突尼斯"	"非洲"	"12.14"	"False"	"968"	"0"	"111361"	"0"	"3894"	"84741"	"22726"	"968"	"387"	"523"	"58"
"巴勒斯坦"	"亚洲"	"12.14"	"False"	"1364"	"0"	"111102"	"0"	"1000"	"87057"	"23045"	"1364"	"-605"	"1947"	"22"
"缅甸"	"亚洲"	"12.14"	"False"	"1170"	"0"	"109512"	"0"	"2292"	"88131"	"19089"	"1170"	"-190"	"1336"	"24"
"委内瑞拉"	"南美洲"	"12.14"	"False"	"609"	"0"	"107786"	"0"	"954"	"102289"	"4543"	"609"	"604"	"0"	"5"
"波黑"	"欧洲"	"12.14"	"False"	"344"	"0"	"101461"	"0"	"3391"	"66486"	"31584"	"344"	"-439"	"728"	"55"
"斯洛文尼亚"	"欧洲"	"12.14"	"False"	"431"	"0"	"96745"	"0"	"2107"	"73760"	"20878"	"431"	"4"	"383"	"44"
"立陶宛"	"欧洲"	"12.14"	"False"	"1920"	"0"	"95021"	"0"	"825"	"38957"	"55239"	"1920"	"1846"	"64"	"10"
"巴拉圭"	"南美洲"	"12.14"	"False"	"669"	"0"	"93582"	"0"	"1953"	"66543"	"25086"	"669"	"-38"	"691"	"16"
"阿尔及利亚"	"非洲"	"12.14"	"False"	"464"	"0"	"92102"	"0"	"2596"	"60457"	"29049"	"464"	"23"	"429"	"12"
"肯尼亚"	"非洲"	"12.14"	"False"	"366"	"0"	"91892"	"0"	"1587"	"73028"	"17277"	"366"	"-67"	"432"	"1"
"利比亚"	"非洲"	"12.14"	"False"	"578"	"0"	"91357"	"0"	"1314"	"61453"	"28590"	"578"	"5"	"558"	"15"
"巴林"	"亚洲"	"12.14"	"False"	"178"	"0"	"89143"	"0"	"348"	"87182"	"1613"	"178"	"21"	"157"	"0"
"马来西亚"	"亚洲"	"12.14"	"False"	"1371"	"0"	"84846"	"0"	"419"	"70597"	"13830"	"1371"	"163"	"1204"	"4"
"吉尔吉斯斯坦"	"亚洲"	"12.14"	"False"	"318"	"0"	"77674"	"0"	"1312"	"70450"	"5912"	"318"	"55"	"258"	"5"
"爱尔兰"	"欧洲"	"12.14"	"False"	"429"	"0"	"76185"	"0"	"2124"	"23364"	"50697"	"429"	"428"	"0"	"1"
"乌兹别克斯坦"	"亚洲"	"12.14"	"False"	"138"	"0"	"75094"	"0"	"612"	"72368"	"2114"	"138"	"13"	"125"	"0"
"北马其顿"	"欧洲"	"12.14"	"False"	"613"	"0"	"73638"	"0"	"2121"	"49414"	"22103"	"613"	"-100"	"688"	"25"
"尼日利亚"	"非洲"	"12.14"	"False"	"418"	"0"	"73175"	"0"	"1197"	"66090"	"5888"	"418"	"175"	"240"	"3"
