"name" "continent"	"date"	"isUpdated"	"confirmAdd"	"confirmAddCut"	"confirm"	"suspect"	"dead"	"heal"	"nowConfirm"	"confirmCompare"	"nowConfirmCompare"	"healCompare"	"deadCompare"
"美国"	"北美洲"	"12.15"	"True"	"158956"	"0"	"16903131"	"0"	"307803"	"9823625"	"6771703"	"165864"	"65334"	"99186"	"1344"
"印度"	"亚洲"	"12.15"	"False"	"0"	"0"	"9884100"	"0"	"143355"	"9388159"	"352586"	"0"	"0"	"0"	"0"
"巴西"	"南美洲"	"12.15"	"False"	"0"	"0"	"6901952"	"0"	"181402"	"6138349"	"582201"	"0"	"0"	"0"	"0"
"俄罗斯"	"欧洲"	"12.15"	"False"	"0"	"0"	"2656601"	"0"	"46846"	"2105414"	"504341"	"0"	"0"	"0"	"0"
"法国"	"欧洲"	"12.15"	"False"	"3247"	"0"	"2433859"	"0"	"58391"	"183340"	"2192128"	"3247"	"2219"	"652"	"376"
"英国"	"欧洲"	"12.15"	"False"	"20313"	"0"	"1874803"	"0"	"64500"	"4022"	"1806281"	"20313"	"20071"	"9"	"233"
"土耳其"	"亚洲"	"12.15"	"False"	"29617"	"0"	"1866345"	"0"	"16646"	"1631944"	"217755"	"29617"	"1224"	"28164"	"229"
"意大利"	"欧洲"	"12.15"	"False"	"12025"	"0"	"1855737"	"0"	"65011"	"1115617"	"675109"	"12025"	"-10922"	"22456"	"491"
"西班牙"	"欧洲"	"12.15"	"True"	"7967"	"0"	"1762036"	"0"	"48013"	"196958"	"1517065"	"20597"	"20208"	"0"	"389"
"阿根廷"	"南美洲"	"12.15"	"False"	"5062"	"0"	"1503222"	"0"	"41041"	"1340120"	"122061"	"5062"	"-16"	"4803"	"275"
"哥伦比亚"	"南美洲"	"12.15"	"False"	"8742"	"0"	"1434516"	"0"	"39195"	"1321469"	"73852"	"8742"	"1967"	"6633"	"142"
"德国"	"欧洲"	"12.15"	"False"	"6331"	"0"	"1357141"	"0"	"22330"	"996099"	"338712"	"6331"	"5476"	"695"	"160"
"墨西哥"	"北美洲"	"12.15"	"False"	"0"	"0"	"1250044"	"0"	"113953"	"918681"	"217410"	"0"	"0"	"0"	"0"
"波兰"	"欧洲"	"12.15"	"False"	"0"	"0"	"1140572"	"0"	"22960"	"869155"	"248457"	"0"	"0"	"0"	"0"
"伊朗"	"亚洲"	"12.15"	"False"	"0"	"0"	"1115770"	"0"	"52447"	"823231"	"240092"	"0"	"0"	"0"	"0"
"秘鲁"	"南美洲"	"12.15"	"False"	"0"	"0"	"984973"	"0"	"36677"	"918352"	"29944"	"0"	"0"	"0"	"0"
"乌克兰"	"欧洲"	"12.15"	"False"	"0"	"0"	"925321"	"0"	"15792"	"526101"	"383428"	"0"	"0"	"0"	"0"
"南非"	"非洲"	"12.15"	"False"	"5163"	"0"	"866127"	"0"	"23451"	"762746"	"79930"	"5163"	"3253"	"1735"	"175"
"荷兰"	"欧洲"	"12.15"	"False"	"44"	"0"	"632068"	"0"	"10168"	"7920"	"613980"	"44"	"-4"	"48"	"0"
"印度尼西亚"	"亚洲"	"12.15"	"False"	"0"	"0"	"623309"	"0"	"18956"	"510957"	"93396"	"0"	"0"	"0"	"0"
"比利时"	"欧洲"	"12.15"	"False"	"0"	"0"	"608137"	"0"	"17951"	"33687"	"556499"	"0"	"0"	"0"	"0"
"捷克"	"欧洲"	"12.15"	"False"	"0"	"0"	"581079"	"0"	"9609"	"505922"	"65548"	"0"	"0"	"0"	"0"
"伊拉克"	"亚洲"	"12.15"	"False"	"0"	"0"	"575972"	"0"	"12603"	"509474"	"53895"	"0"	"0"	"0"	"0"
"智利"	"南美洲"	"12.15"	"False"	"1911"	"0"	"573830"	"0"	"15931"	"546538"	"11361"	"1911"	"160"	"1706"	"45"
"罗马尼亚"	"欧洲"	"12.15"	"False"	"0"	"0"	"559587"	"0"	"13494"	"460780"	"85313"	"0"	"0"	"0"	"0"
"孟加拉"	"亚洲"	"12.15"	"False"	"0"	"0"	"492332"	"0"	"7089"	"423845"	"61398"	"0"	"0"	"0"	"0"
"加拿大"	"北美洲"	"12.15"	"False"	"7617"	"0"	"472820"	"0"	"13569"	"383525"	"75726"	"7617"	"2991"	"4521"	"105"
"菲律宾"	"亚洲"	"12.15"	"False"	"0"	"0"	"450733"	"0"	"8757"	"418723"	"23253"	"0"	"0"	"0"	"0"
"巴基斯坦"	"亚洲"	"12.15"	"False"	"0"	"0"	"440787"	"0"	"8832"	"384719"	"47236"	"0"	"0"	"0"	"0"
"摩洛哥"	"非洲"	"12.15"	"False"	"1217"	"0"	"400826"	"0"	"6659"	"359065"	"35102"	"1217"	"-1860"	"3042"	"35"
"瑞士"	"欧洲"	"12.15"	"False"	"0"	"0"	"384557"	"0"	"6154"	"308300"	"70103"	"0"	"-75"	"0"	"75"
"沙特阿拉伯"	"亚洲"	"12.15"	"False"	"0"	"0"	"360013"	"0"	"6059"	"350792"	"3162"	"0"	"0"	"0"	"0"
"以色列"	"亚洲"	"12.15"	"False"	"1213"	"0"	"359506"	"0"	"3004"	"338418"	"18084"	"1213"	"393"	"819"	"1"
"葡萄牙"	"欧洲"	"12.15"	"False"	"2194"	"0"	"350938"	"0"	"5649"	"274277"	"71012"	"2194"	"2194"	"0"	"0"
"奥地利"	"欧洲"	"12.15"	"False"	"0"	"0"	"325051"	"0"	"4530"	"284174"	"36347"	"0"	"0"	"0"	"0"
"瑞典"	"欧洲"	"12.15"	"False"	"0"	"0"	"320098"	"0"	"7514"	"4917"	"307667"	"0"	"0"	"0"	"0"
"匈牙利"	"欧洲"	"12.15"	"False"	"0"	"0"	"283870"	"0"	"7130"	"82546"	"194194"	"0"	"0"	"0"	"0"
"塞尔维亚"	"欧洲"	"12.15"	"False"	"0"	"0"	"271364"	"0"	"2380"	"15913"	"253071"	"0"	"0"	"0"	"0"
"约旦"	"亚洲"	"12.15"	"False"	"2863"	"0"	"262477"	"0"	"3407"	"222654"	"36416"	"2863"	"2863"	"0"	"0"
"尼泊尔"	"亚洲"	"12.15"	"False"	"0"	"0"	"249244"	"0"	"1716"	"236573"	"10955"	"0"	"0"	"0"	"0"
"厄瓜多尔"	"南美洲"	"12.15"	"False"	"70"	"0"	"202180"	"0"	"13875"	"177951"	"10354"	"70"	"70"	"0"	"0"
"巴拿马"	"北美洲"	"12.15"	"False"	"1612"	"0"	"194619"	"0"	"3382"	"163334"	"27903"	"1612"	"357"	"1229"	"26"
"格鲁吉亚"	"亚洲"	"12.15"	"False"	"0"	"0"	"191063"	"0"	"1839"	"161681"	"27543"	"0"	"0"	"0"	"0"
"哈萨克斯坦"	"亚洲"	"12.15"	"False"	"0"	"0"	"186277"	"0"	"2552"	"157701"	"26024"	"0"	"0"	"0"	"0"
"阿联酋"	"亚洲"	"12.15"	"False"	"0"	"0"	"186041"	"0"	"618"	"164349"	"21074"	"0"	"0"	"0"	"0"
"日本本土"	"亚洲"	"12.15"	"False"	"0"	"0"	"182278"	"0"	"2528"	"150791"	"28959"	"0"	"0"	"0"	"0"
"保加利亚"	"欧洲"	"12.15"	"False"	"2095"	"0"	"181544"	"0"	"5838"	"85578"	"90128"	"2095"	"87"	"1858"	"150"
"阿塞拜疆"	"亚洲"	"12.15"	"False"	"0"	"0"	"178986"	"0"	"1966"	"114841"	"62179"	"0"	"0"	"0"	"0"
"克罗地亚"	"欧洲"	"12.15"	"False"	"0"	"0"	"177358"	"0"	"2705"	"151884"	"22769"	"0"	"0"	"0"	"0"
"白俄罗斯"	"欧洲"	"12.15"	"False"	"0"	"0"	"162148"	"0"	"1273"	"139785"	"21090"	"0"	"0"	"0"	"0"
"多米尼加"	"北美洲"	"12.15"	"False"	"492"	"0"	"155184"	"0"	"2364"	"121007"	"31813"	"492"	"-37"	"526"	"3"
"哥斯达黎加"	"北美洲"	"12.15"	"False"	"2222"	"0"	"153169"	"0"	"1936"	"118511"	"32722"	"2222"	"-3708"	"5889"	"41"
"亚美尼亚"	"亚洲"	"12.15"	"False"	"0"	"0"	"148682"	"0"	"2503"	"125966"	"20213"	"0"	"0"	"0"	"0"
"黎巴嫩"	"亚洲"	"12.15"	"False"	"1093"	"0"	"147613"	"0"	"1210"	"103057"	"43346"	"1093"	"-640"	"1723"	"10"
"玻利维亚"	"南美洲"	"12.15"	"False"	"0"	"0"	"147150"	"0"	"9018"	"126221"	"11911"	"0"	"0"	"0"	"0"
"科威特"	"亚洲"	"12.15"	"False"	"0"	"0"	"146449"	"0"	"912"	"142357"	"3180"	"0"	"0"	"0"	"0"
"卡塔尔"	"亚洲"	"12.15"	"False"	"160"	"0"	"141121"	"0"	"241"	"138719"	"2161"	"160"	"160"	"0"	"0"
"斯洛伐克"	"欧洲"	"12.15"	"False"	"0"	"0"	"133489"	"0"	"1205"	"98585"	"33699"	"0"	"0"	"0"	"0"
"危地马拉"	"北美洲"	"12.15"	"False"	"0"	"0"	"129405"	"0"	"4445"	"118217"	"6743"	"0"	"0"	"0"	"0"
"摩尔多瓦"	"欧洲"	"12.15"	"False"	"735"	"0"	"127253"	"0"	"2598"	"110179"	"14476"	"735"	"735"	"0"	"0"
"阿曼"	"亚洲"	"12.15"	"False"	"0"	"0"	"126504"	"0"	"1472"	"118287"	"6745"	"0"	"0"	"0"	"0"
"希腊"	"欧洲"	"12.15"	"False"	"639"	"0"	"125173"	"0"	"3687"	"23074"	"98412"	"639"	"577"	"0"	"62"
"埃及"	"非洲"	"12.15"	"False"	"511"	"0"	"122086"	"0"	"6943"	"105132"	"10011"	"511"	"231"	"257"	"23"
"埃塞俄比亚"	"非洲"	"12.15"	"False"	"473"	"0"	"117242"	"0"	"1809"	"95225"	"20208"	"473"	"-865"	"1335"	"3"
"洪都拉斯"	"北美洲"	"12.15"	"False"	"0"	"0"	"114359"	"0"	"2975"	"51478"	"59906"	"0"	"0"	"0"	"0"
"丹麦"	"欧洲"	"12.15"	"False"	"0"	"0"	"113642"	"0"	"950"	"81088"	"31604"	"0"	"0"	"0"	"0"
"突尼斯"	"非洲"	"12.15"	"False"	"0"	"0"	"111361"	"0"	"3894"	"84741"	"22726"	"0"	"0"	"0"	"0"
"巴勒斯坦"	"亚洲"	"12.15"	"False"	"0"	"0"	"111102"	"0"	"1000"	"87057"	"23045"	"0"	"0"	"0"	"0"
"缅甸"	"亚洲"	"12.15"	"False"	"0"	"0"	"109512"	"0"	"2292"	"88131"	"19089"	"0"	"0"	"0"	"0"
"委内瑞拉"	"南美洲"	"12.15"	"False"	"0"	"0"	"107786"	"0"	"954"	"102289"	"4543"	"0"	"0"	"0"	"0"
"波黑"	"欧洲"	"12.15"	"False"	"0"	"0"	"101461"	"0"	"3391"	"66486"	"31584"	"0"	"0"	"0"	"0"
"斯洛文尼亚"	"欧洲"	"12.15"	"False"	"0"	"0"	"96745"	"0"	"2107"	"73760"	"20878"	"0"	"0"	"0"	"0"
"立陶宛"	"欧洲"	"12.15"	"False"	"0"	"0"	"95021"	"0"	"825"	"38957"	"55239"	"0"	"0"	"0"	"0"
"巴拉圭"	"南美洲"	"12.15"	"False"	"641"	"0"	"94223"	"0"	"1971"	"67242"	"25010"	"641"	"-76"	"699"	"18"
"阿尔及利亚"	"非洲"	"12.15"	"False"	"495"	"0"	"92597"	"0"	"2609"	"60888"	"29100"	"495"	"51"	"431"	"13"
"肯尼亚"	"非洲"	"12.15"	"False"	"163"	"0"	"92055"	"0"	"1593"	"73452"	"17010"	"163"	"-267"	"424"	"6"
"利比亚"	"非洲"	"12.15"	"False"	"0"	"0"	"91357"	"0"	"1314"	"61453"	"28590"	"0"	"0"	"0"	"0"
"巴林"	"亚洲"	"12.15"	"False"	"125"	"0"	"89268"	"0"	"348"	"87332"	"1588"	"125"	"-25"	"150"	"0"
"马来西亚"	"亚洲"	"12.15"	"False"	"0"	"0"	"84846"	"0"	"419"	"70597"	"13830"	"0"	"0"	"0"	"0"
"吉尔吉斯斯坦"	"亚洲"	"12.15"	"False"	"0"	"0"	"77674"	"0"	"1312"	"70450"	"5912"	"0"	"0"	"0"	"0"
"爱尔兰"	"欧洲"	"12.15"	"False"	"264"	"0"	"76449"	"0"	"2126"	"23364"	"50959"	"264"	"262"	"0"	"2"
"乌兹别克斯坦"	"亚洲"	"12.15"	"False"	"0"	"0"	"75094"	"0"	"612"	"72368"	"2114"	"0"	"0"	"0"	"0"
"北马其顿"	"欧洲"	"12.15"	"False"	"213"	"0"	"73851"	"0"	"2147"	"50046"	"21658"	"213"	"-445"	"632"	"26"
"尼日利亚"	"非洲"	"12.15"	"False"	"199"	"0"	"73374"	"0"	"1197"	"66314"	"5863"	"199"	"-25"	"224"	"0"
"新加坡"	"亚洲"	"12.15"	"False"	"0"	"0"	"58325"	"0"	"29"	"58210"	"86"	"0"	"-2"	"2"	"0"
"加纳"	"非洲"	"12.15"	"False"	"0"	"0"	"53014"	"0"	"327"	"51761"	"926"	"0"	"0"	"0"	"0"
"阿尔巴尼亚"	"欧洲"	"12.15"	"False"	"661"	"0"	"49191"	"0"	"1016"	"24820"	"23355"	"661"	"648"	"0"	"13"
"阿富汗"	"亚洲"	"12.15"	"False"	"0"	"0"	"48718"	"0"	"1969"	"38252"	"8497"	"0"	"0"	"0"	"0"
"韩国"	"亚洲"	"12.15"	"False"	"0"	"0"	"43484"	"0"	"587"	"32102"	"10795"	"0"	"0"	"0"	"0"
"卢森堡"	"欧洲"	"12.15"	"False"	"1145"	"0"	"41900"	"0"	"410"	"33367"	"8123"	"1145"	"-562"	"1689"	"18"
"萨尔瓦多"	"北美洲"	"12.15"	"False"	"0"	"0"	"41880"	"0"	"1205"	"38087"	"2588"	"0"	"0"	"0"	"0"
"黑山"	"欧洲"	"12.15"	"False"	"377"	"0"	"41803"	"0"	"585"	"31138"	"10080"	"377"	"-271"	"645"	"3"
"挪威"	"欧洲"	"12.15"	"False"	"155"	"0"	"41158"	"0"	"393"	"17998"	"22767"	"155"	"155"	"0"	"0"
"斯里兰卡"	"亚洲"	"12.15"	"False"	"332"	"0"	"33478"	"0"	"154"	"24309"	"9015"	"332"	"330"	"0"	"2"
"芬兰"	"欧洲"	"12.15"	"False"	"0"	"0"	"31110"	"0"	"461"	"20000"	"10649"	"0"	"0"	"0"	"0"
"澳大利亚"	"大洋洲"	"12.15"	"False"	"1"	"0"	"28040"	"0"	"908"	"25685"	"1447"	"1"	"0"	"1"	"0"
"乌干达"	"非洲"	"12.15"	"False"	"234"	"0"	"27766"	"0"	"224"	"9921"	"17621"	"234"	"136"	"95"	"3"
"拉脱维亚"	"欧洲"	"12.15"	"False"	"0"	"0"	"25885"	"0"	"352"	"16869"	"8664"	"0"	"0"	"0"	"0"
"喀麦隆"	"非洲"	"12.15"	"False"	"71"	"0"	"25214"	"0"	"443"	"23851"	"920"	"71"	"71"	"0"	"0"
"科特迪瓦"	"非洲"	"12.15"	"False"	"25"	"0"	"21705"	"0"	"133"	"21318"	"254"	"25"	"5"	"20"	"0"
"苏丹"	"非洲"	"12.15"	"False"	"205"	"0"	"21591"	"0"	"1355"	"12452"	"7784"	"205"	"58"	"139"	"8"
"爱沙尼亚"	"欧洲"	"12.15"	"False"	"0"	"0"	"18385"	"0"	"154"	"11121"	"7110"	"0"	"0"	"0"	"0"
"赞比亚"	"非洲"	"12.15"	"False"	"0"	"0"	"18322"	"0"	"367"	"17409"	"546"	"0"	"0"	"0"	"0"
"马达加斯加"	"非洲"	"12.15"	"False"	"0"	"0"	"17587"	"0"	"259"	"16992"	"336"	"0"	"0"	"0"	"0"
"塞内加尔"	"非洲"	"12.15"	"False"	"0"	"0"	"17146"	"0"	"350"	"16159"	"637"	"0"	"0"	"0"	"0"
"莫桑比克"	"非洲"	"12.15"	"False"	"48"	"0"	"17002"	"0"	"143"	"15006"	"1853"	"48"	"-141"	"188"	"1"
"纳米比亚"	"非洲"	"12.15"	"False"	"0"	"0"	"16726"	"0"	"163"	"14837"	"1726"	"0"	"0"	"0"	"0"
"安哥拉"	"非洲"	"12.15"	"False"	"89"	"0"	"16277"	"0"	"372"	"8924"	"6981"	"89"	"62"	"26"	"1"
"塞浦路斯"	"亚洲"	"12.15"	"False"	"349"	"0"	"15450"	"0"	"82"	"2057"	"13311"	"349"	"345"	"0"	"4"
"刚果（金）"	"非洲"	"12.15"	"False"	"51"	"0"	"14512"	"0"	"356"	"12653"	"1503"	"51"	"-141"	"188"	"4"
"几内亚"	"非洲"	"12.15"	"False"	"26"	"0"	"13457"	"0"	"80"	"12713"	"664"	"26"	"-21"	"46"	"1"
"马尔代夫"	"亚洲"	"12.15"	"False"	"11"	"0"	"13379"	"0"	"48"	"12731"	"600"	"11"	"-14"	"25"	"0"
"博茨瓦纳"	"非洲"	"12.15"	"False"	"372"	"0"	"12873"	"0"	"38"	"10456"	"2379"	"372"	"-145"	"516"	"1"
"塔吉克斯坦"	"亚洲"	"12.15"	"False"	"0"	"0"	"12741"	"0"	"88"	"12172"	"481"	"0"	"0"	"0"	"0"
"牙买加"	"北美洲"	"12.15"	"False"	"82"	"0"	"11792"	"0"	"273"	"8098"	"3421"	"82"	"82"	"0"	"0"
"佛得角"	"非洲"	"12.15"	"False"	"4"	"0"	"11361"	"0"	"110"	"11036"	"215"	"4"	"-70"	"74"	"0"
"津巴布韦"	"非洲"	"12.15"	"False"	"112"	"0"	"11358"	"0"	"309"	"9554"	"1495"	"112"	"7"	"103"	"2"
"马耳他"	"欧洲"	"12.15"	"False"	"0"	"0"	"11254"	"0"	"174"	"9319"	"1761"	"0"	"0"	"0"	"0"
"毛里塔尼亚"	"非洲"	"12.15"	"False"	"164"	"0"	"11135"	"0"	"228"	"8118"	"2789"	"164"	"119"	"42"	"3"
"乌拉圭"	"南美洲"	"12.15"	"False"	"321"	"0"	"10029"	"0"	"95"	"6593"	"3341"	"321"	"83"	"235"	"3"
"海地"	"北美洲"	"12.15"	"False"	"97"	"0"	"9588"	"0"	"234"	"8280"	"1074"	"97"	"57"	"39"	"1"
"古巴"	"北美洲"	"12.15"	"False"	"69"	"0"	"9492"	"0"	"137"	"8484"	"871"	"69"	"19"	"50"	"0"
"加蓬"	"非洲"	"12.15"	"False"	"21"	"0"	"9351"	"0"	"63"	"9204"	"84"	"21"	"-1"	"22"	"0"
"叙利亚"	"亚洲"	"12.15"	"False"	"136"	"0"	"9302"	"0"	"530"	"4432"	"4340"	"136"	"68"	"56"	"12"
"伯利兹"	"北美洲"	"12.15"	"False"	"0"	"0"	"9295"	"0"	"195"	"4414"	"4686"	"0"	"-93"	"93"	"0"
"巴哈马"	"北美洲"	"12.15"	"False"	"0"	"0"	"7674"	"0"	"163"	"6070"	"1441"	"0"	"0"	"0"	"0"
"安道尔"	"欧洲"	"12.15"	"False"	"44"	"0"	"7382"	"0"	"79"	"6706"	"597"	"44"	"-33"	"77"	"0"
"特立尼达和多巴哥"	""	"12.15"	"False"	"6"	"0"	"6885"	"0"	"123"	"6180"	"582"	"6"	"-30"	"35"	"1"
"斯威士兰"	"非洲"	"12.15"	"False"	"57"	"0"	"6825"	"0"	"130"	"6416"	"279"	"57"	"17"	"37"	"3"
"卢旺达"	"非洲"	"12.15"	"False"	"88"	"0"	"6747"	"0"	"56"	"5996"	"695"	"88"	"47"	"41"	"0"
"马拉维"	"非洲"	"12.15"	"False"	"4"	"0"	"6070"	"0"	"187"	"5491"	"392"	"4"	"4"	"0"	"0"
"刚果（布）"	"非洲"	"12.15"	"False"	"0"	"0"	"6049"	"0"	"99"	"4988"	"962"	"0"	"0"	"0"	"0"
"圭亚那"	"南美洲"	"12.15"	"False"	"23"	"0"	"5943"	"0"	"156"	"5077"	"710"	"23"	"18"	"4"	"1"
"尼加拉瓜"	"北美洲"	"12.15"	"False"	"0"	"0"	"5887"	"0"	"162"	"4225"	"1500"	"0"	"0"	"0"	"0"
"马里"	"非洲"	"12.15"	"False"	"22"	"0"	"5836"	"0"	"201"	"3630"	"2005"	"22"	"-24"	"39"	"7"
"吉布提"	"非洲"	"12.15"	"False"	"5"	"0"	"5733"	"0"	"61"	"5622"	"50"	"5"	"1"	"4"	"0"
"冰岛"	"欧洲"	"12.15"	"False"	"0"	"0"	"5564"	"0"	"28"	"5392"	"144"	"0"	"0"	"0"	"0"
"苏里南"	"南美洲"	"12.15"	"False"	"0"	"0"	"5353"	"0"	"117"	"5227"	"9"	"0"	"-3"	"3"	"0"
"赤道几内亚"	"非洲"	"12.15"	"False"	"0"	"0"	"5185"	"0"	"85"	"5058"	"42"	"0"	"0"	"0"	"0"
"中非共和国"	"非洲"	"12.15"	"False"	"0"	"0"	"4936"	"0"	"63"	"1924"	"2949"	"0"	"0"	"0"	"0"
"索马里"	"非洲"	"12.15"	"False"	"0"	"0"	"4579"	"0"	"121"	"3529"	"929"	"0"	"0"	"0"	"0"
"泰国"	"亚洲"	"12.15"	"False"	"0"	"0"	"4237"	"0"	"60"	"3940"	"237"	"0"	"0"	"0"	"0"
"布基纳法索"	"非洲"	"12.15"	"False"	"0"	"0"	"4030"	"0"	"71"	"2910"	"1049"	"0"	"0"	"0"	"0"
"冈比亚"	"非洲"	"12.15"	"False"	"0"	"0"	"3782"	"0"	"123"	"3647"	"12"	"0"	"0"	"0"	"0"
"多哥"	"非洲"	"12.15"	"False"	"15"	"0"	"3266"	"0"	"66"	"2789"	"411"	"15"	"-3"	"18"	"0"
"贝宁"	"非洲"	"12.15"	"False"	"0"	"0"	"3090"	"0"	"44"	"2972"	"74"	"0"	"0"	"0"	"0"
"塞拉利昂"	"非洲"	"12.15"	"False"	"5"	"0"	"2445"	"0"	"75"	"1851"	"519"	"5"	"4"	"1"	"0"
"几内亚比绍"	"非洲"	"12.15"	"False"	"0"	"0"	"2444"	"0"	"44"	"2337"	"63"	"0"	"0"	"0"	"0"
"莱索托"	"非洲"	"12.15"	"False"	"0"	"0"	"2277"	"0"	"44"	"1340"	"893"	"0"	"0"	"0"	"0"
"尼日尔"	"非洲"	"12.15"	"False"	"0"	"0"	"2258"	"0"	"80"	"1292"	"886"	"0"	"0"	"0"	"0"
"新西兰"	"大洋洲"	"12.15"	"False"	"0"	"0"	"2096"	"0"	"25"	"2015"	"56"	"0"	"0"	"0"	"0"
"也门"	"亚洲"	"12.15"	"False"	"1"	"0"	"2084"	"0"	"606"	"1384"	"94"	"1"	"0"	"1"	"0"
"圣马力诺"	"欧洲"	"12.15"	"False"	"0"	"0"	"1932"	"0"	"51"	"1575"	"306"	"0"	"0"	"0"	"0"
"乍得"	"非洲"	"12.15"	"False"	"1"	"0"	"1771"	"0"	"102"	"1608"	"61"	"1"	"0"	"1"	"0"
"利比里亚"	"非洲"	"12.15"	"False"	"0"	"0"	"1676"	"0"	"83"	"1358"	"235"	"0"	"0"	"0"	"0"
"列支敦士登公国"	"欧洲"	"12.15"	"False"	"0"	"0"	"1566"	"0"	"20"	"1351"	"195"	"0"	"0"	"0"	"0"
"越南"	"亚洲"	"12.15"	"False"	"0"	"0"	"1402"	"0"	"35"	"1246"	"121"	"0"	"0"	"0"	"0"
"蒙古"	"亚洲"	"12.15"	"False"	"0"	"0"	"912"	"0"	"0"	"384"	"528"	"0"	"0"	"0"	"0"
"布隆迪"	"非洲"	"12.15"	"False"	"0"	"0"	"729"	"0"	"1"	"640"	"88"	"0"	"0"	"0"	"0"
"巴布亚新几内亚"	"大洋洲"	"12.15"	"False"	"0"	"0"	"725"	"0"	"8"	"601"	"116"	"0"	"0"	"0"	"0"
"钻石号邮轮"	"其他"	"12.15"	"False"	"0"	"0"	"712"	"0"	"13"	"699"	"0"	"0"	"0"	"0"	"0"
"厄立特里亚"	"非洲"	"12.15"	"False"	"0"	"0"	"711"	"0"	"0"	"564"	"147"	"0"	"0"	"0"	"0"
"摩纳哥"	"欧洲"	"12.15"	"False"	"3"	"0"	"671"	"0"	"3"	"605"	"63"	"3"	"-5"	"8"	"0"
"科摩罗"	"非洲"	"12.15"	"False"	"0"	"0"	"628"	"0"	"7"	"606"	"15"	"0"	"0"	"0"	"0"
"毛里求斯"	"非洲"	"12.15"	"False"	"8"	"0"	"523"	"0"	"10"	"489"	"24"	"8"	"-3"	"11"	"0"
"坦桑尼亚"	"非洲"	"12.15"	"False"	"0"	"0"	"509"	"0"	"21"	"183"	"305"	"0"	"0"	"0"	"0"
"不丹"	"亚洲"	"12.15"	"False"	"0"	"0"	"438"	"0"	"0"	"403"	"35"	"0"	"0"	"0"	"0"
"柬埔寨"	"亚洲"	"12.15"	"False"	"0"	"0"	"359"	"0"	"0"	"309"	"50"	"0"	"0"	"0"	"0"
"巴巴多斯"	"北美洲"	"12.15"	"False"	"4"	"0"	"296"	"0"	"7"	"272"	"17"	"4"	"1"	"3"	"0"
"圣卢西亚"	"北美洲"	"12.15"	"False"	"0"	"0"	"275"	"0"	"4"	"203"	"68"	"0"	"0"	"0"	"0"
"塞舌尔"	"非洲"	"12.15"	"False"	"0"	"0"	"187"	"0"	"0"	"182"	"5"	"0"	"0"	"0"	"0"
"文莱"	"亚洲"	"12.15"	"False"	"0"	"0"	"152"	"0"	"3"	"147"	"2"	"0"	"0"	"0"	"0"
"安提瓜和巴布达"	"北美洲"	"12.15"	"False"	"0"	"0"	"148"	"0"	"5"	"138"	"5"	"0"	"0"	"0"	"0"
"圣文森特和格林纳丁斯"	"北美洲"	"12.15"	"False"	"0"	"0"	"98"	"0"	"0"	"81"	"17"	"0"	"0"	"0"	"0"
"多米尼克"	"北美洲"	"12.15"	"False"	"0"	"0"	"88"	"0"	"0"	"83"	"5"	"0"	"0"	"0"	"0"
"格林纳达"	"北美洲"	"12.15"	"False"	"0"	"0"	"69"	"0"	"0"	"41"	"28"	"0"	"0"	"0"	"0"
"斐济"	"大洋洲"	"12.15"	"False"	"0"	"0"	"46"	"0"	"2"	"38"	"6"	"0"	"0"	"0"	"0"
"老挝"	"亚洲"	"12.15"	"False"	"0"	"0"	"41"	"0"	"0"	"34"	"7"	"0"	"0"	"0"	"0"
"马提尼克岛"	"北美洲"	"03.23"	"False"	"0"	"0"	"37"	"0"	"1"	"0"	"36"	"0"	"0"	"0"	"0"
"东帝汶"	"亚洲"	"12.15"	"False"	"0"	"0"	"31"	"0"	"0"	"30"	"1"	"0"	"0"	"0"	"0"
"圣基茨和尼维斯"	"北美洲"	"12.15"	"False"	"1"	"0"	"28"	"0"	"0"	"23"	"5"	"1"	"1"	"0"	"0"
"梵蒂冈"	"欧洲"	"12.15"	"False"	"0"	"0"	"27"	"0"	"0"	"15"	"12"	"0"	"0"	"0"	"0"
"所罗门群岛"	"大洋洲"	"12.15"	"False"	"0"	"0"	"17"	"0"	"0"	"5"	"12"	"0"	"0"	"0"	"0"
"马绍尔群岛"	"大洋洲"	"12.15"	"False"	"0"	"0"	"4"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"
"瓦努阿图"	"大洋洲"	"12.15"	"False"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"美国"	"北美洲"	"12.16"	"True"	"151623"	"0"	"17095527"	"0"	"310209"	"9967921"	"6817397"	"152705"	"54327"	"96258"	"2120"
"印度"	"亚洲"	"12.16"	"False"	"0"	"0"	"9906165"	"0"	"143709"	"9422636"	"339820"	"0"	"0"	"0"	"0"
"巴西"	"南美洲"	"12.16"	"False"	"42889"	"0"	"6970034"	"0"	"182799"	"6205914"	"581321"	"42889"	"-5940"	"47865"	"964"
"俄罗斯"	"欧洲"	"12.16"	"False"	"0"	"0"	"2682866"	"0"	"47410"	"2129806"	"505650"	"0"	"0"	"0"	"0"
"法国"	"欧洲"	"12.16"	"False"	"11600"	"0"	"2445459"	"0"	"59182"	"184780"	"2201497"	"11600"	"9369"	"1440"	"791"
"土耳其"	"亚洲"	"12.16"	"False"	"32102"	"0"	"1898447"	"0"	"16881"	"1661191"	"220375"	"32102"	"2620"	"29247"	"235"
